size,count
5504,2
5632,4
5760,3
5888,4
6144,4
6272,4
6400,2
6528,2
6656,2
6784,2
6912,4
7040,2
7168,2
7296,2
7424,4
7552,4
7680,2
7808,2
7936,2
8064,2
8320,3
8448,2
8576,2
8704,2
8832,4
8960,2
9088,3
9216,3
9472,4
9600,2
9728,2
9856,2
9984,4
10112,4
10240,2
10368,2
10496,2
10624,2
10752,4
10880,2
11008,2
11264,3
11392,4
11520,2
11648,2
11904,2
12032,5
12160,2
12288,2
12416,2
12544,2
12672,4
12800,2
12928,3
13056,2
13312,5
13568,2
13696,2
13824,2
13952,4
14208,2
14336,2
14464,2
14592,4
14720,2
14848,2
14976,2
15104,2
15232,4
15360,2
15488,2
15616,2
15744,2
15872,4
16000,2
16128,2
16256,4
16384,95
16512,4
16640,2
16768,4
17024,2
17152,4
17280,2
17536,2
17664,2
17792,6
17920,2
18048,2
18176,2
18304,2
18432,4
18560,2
18688,2
18816,2
18944,2
19072,4
19200,2
19328,2
19456,2
19584,2
19712,6
19840,2
19968,2
20096,2
20224,2
20352,4
20480,4
20608,2
20736,2
20864,2
20992,4
21120,2
21248,2
21376,2
21504,2
21632,6
21888,2
22016,2
22272,4
22400,2
22528,2
22784,2
22912,4
23040,2
23168,2
23296,2
23424,2
23552,5
23680,4
23808,2
23936,2
24064,2
24192,4
24320,2
24448,2
24576,2
24704,2
24832,5
24960,2
25088,2
25216,3
25344,2
25472,5
25600,2
25728,2
25856,5
25984,2
26112,4
26240,2
26368,4
26496,2
26624,2
26752,4
26880,2
27008,2
27136,2
27264,2
27392,4
27520,2
27648,2
27776,2
27904,2
28032,4
28288,2
28416,2
28544,2
28672,2
28800,2
28928,2
29056,2
29312,2
29440,2
29568,2
29696,202
29824,2
29952,2
30080,2
30208,2
30336,2
30592,2
30720,4
30848,2
30976,2
31104,2
31232,2
31488,2
31616,3
31744,2
31872,2
32000,3
32128,2
32256,2
32384,2
32512,2
32768,2
32896,2
33024,2
33152,2
33280,2
33408,2
33536,2
33664,2
33792,2
33920,2
34048,2
34176,2
34304,2
34432,2
34560,2
34688,2
34816,2
34944,2
35072,2
35200,2
35328,2
35456,2
35584,2
35712,2
35840,2
35968,2
36096,2
36224,2
36352,2
36480,2
36608,2
36736,2
36864,2
36992,2
37120,2
37248,2
37376,2
37504,2
37632,2
37760,2
37888,2
38016,2
38144,2
38272,2
38400,2
38528,2
38656,2
